Log_ID,Vehicle_ID,Record_Type,Mileage,Log_Date,Provider,Cost,Is_Fill_Up
73,35,1,"8,232.00",2021-05-18,Exxon #9203,$13.40,FALSE
74,34,1,"8,947.00",2021-05-30,Chevron #5621,$31.50,TRUE
75,35,1,"8,474.00",2021-06-02,Chevron #5621,$30.70,TRUE
76,34,1,"9,172.00",2021-06-13,BP #1345,$29.80,TRUE
77,35,1,"8,707.00",2021-06-16,BP #1345,$30.60,TRUE
78,34,1,"9,429.00",2021-06-27,Shell #2847,$35.60,TRUE
79,35,1,"8,949.00",2021-06-30,Shell #2847,$34.40,TRUE
80,34,1,"9,654.00",2021-07-11,Exxon #9203,$28.20,TRUE
81,35,1,"9,182.00",2021-07-14,Exxon #9203,$29.10,TRUE
82,34,1,"9,911.00",2021-07-25,Chevron #5621,$33.90,TRUE
83,35,1,"9,424.00",2021-07-28,Chevron #5621,$32.80,TRUE
84,34,1,"10,136.00",2021-08-08,BP #1345,$30.40,TRUE
85,35,1,"9,657.00",2021-08-11,BP #1345,$31.30,TRUE
86,34,1,"10,393.00",2021-08-22,Shell #2847,$36.80,TRUE
87,35,1,"9,899.00",2021-08-25,Shell #2847,$35.90,TRUE
88,34,1,"10,618.00",2021-09-05,Exxon #9203,$12.60,FALSE
89,35,1,"10,132.00",2021-09-08,Exxon #9203,$11.80,FALSE
90,34,1,"10,875.00",2021-09-20,Chevron #5621,$32.70,TRUE
91,35,1,"10,374.00",2021-09-23,Chevron #5621,$33.50,TRUE
92,34,1,"11,100.00",2021-10-03,BP #1345,$29.90,TRUE
93,35,1,"10,607.00",2021-10-06,BP #1345,$30.80,TRUE
94,34,1,"11,357.00",2021-10-18,Shell #2847,$34.50,TRUE
95,35,1,"10,849.00",2021-10-21,Shell #2847,$33.60,TRUE
96,34,1,"11,582.00",2021-10-31,Exxon #9203,$31.20,TRUE
97,35,1,"11,082.00",2021-11-03,Exxon #9203,$32.10,TRUE
98,34,1,"11,839.00",2021-11-15,Chevron #5621,$37.80,TRUE
99,35,1,"11,324.00",2021-11-18,Chevron #5621,$36.90,TRUE
100,34,1,"12,064.00",2021-11-28,BP #1345,$16.40,FALSE
101,35,1,"11,557.00",2021-12-01,BP #1345,$15.70,FALSE
102,34,1,"12,321.00",2021-12-13,Shell #2847,$35.90,TRUE
103,35,1,"11,799.00",2021-12-16,Shell #2847,$37.20,TRUE
104,34,1,"12,546.00",2021-12-27,Exxon #9203,$32.60,TRUE
105,35,1,"12,032.00",2021-12-30,Exxon #9203,$33.80,TRUE
106,34,1,"12,803.00",2022-01-10,Chevron #5621,$38.90,TRUE
107,35,1,"12,274.00",2022-01-13,Chevron #5621,$39.70,TRUE
108,34,1,"13,028.00",2022-01-24,BP #1345,$33.40,TRUE
109,35,1,"12,507.00",2022-01-27,BP #1345,$34.20,TRUE
110,34,1,"13,285.00",2022-02-07,Shell #2847,$39.70,TRUE
111,35,1,"12,749.00",2022-02-10,Shell #2847,$38.90,TRUE
112,34,1,"13,510.00",2022-02-21,Exxon #9203,$35.20,TRUE
113,35,1,"12,982.00",2022-02-24,Exxon #9203,$36.10,TRUE
114,34,1,"13,767.00",2022-03-07,Chevron #5621,$41.60,TRUE
115,35,1,"13,224.00",2022-03-10,Chevron #5621,$40.80,TRUE
116,34,1,"13,992.00",2022-03-21,BP #1345,$14.90,FALSE
117,35,1,"13,457.00",2022-03-24,BP #1345,$15.60,FALSE
118,34,1,"14,249.00",2022-04-05,Shell #2847,$42.30,TRUE
119,35,1,"13,699.00",2022-04-08,Shell #2847,$41.50,TRUE
120,34,1,"14,474.00",2022-04-19,Exxon #9203,$37.80,TRUE
121,35,1,"13,932.00",2022-04-22,Exxon #9203,$38.60,TRUE
122,34,1,"14,731.00",2022-05-03,Chevron #5621,$45.20,TRUE
123,35,1,"14,174.00",2022-05-06,Chevron #5621,$44.30,TRUE
124,34,1,"14,956.00",2022-05-17,BP #1345,$39.40,TRUE
125,35,1,"14,407.00",2022-05-20,BP #1345,$40.20,TRUE
126,34,1,"15,213.00",2022-06-01,Shell #2847,$48.90,TRUE
127,35,1,"14,649.00",2022-06-04,Shell #2847,$47.60,TRUE
128,34,1,"15,438.00",2022-06-15,Exxon #9203,$18.70,FALSE
129,35,1,"14,882.00",2022-06-18,Exxon #9203,$17.90,FALSE
130,34,1,"15,695.00",2022-06-30,Chevron #5621,$46.50,TRUE
131,35,1,"15,124.00",2022-07-03,Chevron #5621,$45.70,TRUE
132,34,1,"15,920.00",2022-07-14,BP #1345,$42.80,TRUE
133,35,1,"15,357.00",2022-07-17,BP #1345,$43.60,TRUE
134,34,1,"16,177.00",2022-07-29,Shell #2847,$51.30,TRUE
135,35,1,"15,599.00",2022-08-01,Shell #2847,$50.40,TRUE
136,34,1,"16,402.00",2022-08-11,Exxon #9203,$15.60,FALSE
137,35,1,"15,832.00",2022-08-14,Exxon #9203,$16.30,FALSE
138,34,1,"16,659.00",2022-08-26,Chevron #5621,$44.90,TRUE
139,35,1,"16,074.00",2022-08-29,Chevron #5621,$46.10,TRUE
140,34,1,"16,884.00",2022-09-09,BP #1345,$40.20,TRUE
141,35,1,"16,307.00",2022-09-12,BP #1345,$41.80,TRUE
142,34,1,"17,141.00",2022-09-24,Shell #2847,$43.70,TRUE
143,35,1,"16,549.00",2022-09-27,Shell #2847,$42.90,TRUE
144,34,1,"17,366.00",2022-10-07,Exxon #9203,$38.90,TRUE
145,35,1,"16,782.00",2022-10-10,Exxon #9203,$39.70,TRUE
146,34,1,"17,623.00",2022-10-22,Chevron #5621,$41.20,TRUE
147,35,1,"17,024.00",2022-10-25,Chevron #5621,$42.40,TRUE
148,34,1,"17,848.00",2022-11-05,BP #1345,$12.80,FALSE
149,35,1,"17,257.00",2022-11-08,BP #1345,$13.50,FALSE
150,34,1,"18,105.00",2022-11-20,Shell #2847,$36.50,TRUE
151,35,1,"17,499.00",2022-11-23,Shell #2847,$37.30,TRUE
152,34,1,"18,330.00",2022-12-03,Exxon #9203,$33.80,TRUE
153,35,1,"17,732.00",2022-12-06,Exxon #9203,$34.60,TRUE
154,34,1,"18,587.00",2022-12-18,Chevron #5621,$37.90,TRUE
155,35,1,"17,974.00",2022-12-21,Chevron #5621,$38.70,TRUE
156,34,1,"18,812.00",2023-01-01,BP #1345,$34.20,TRUE
157,35,1,"18,207.00",2023-01-04,BP #1345,$35.10,TRUE
158,34,1,"19,069.00",2023-01-15,Shell #2847,$39.60,TRUE
159,35,1,"18,449.00",2023-01-18,Shell #2847,$38.80,TRUE
160,34,1,"19,294.00",2023-01-29,Exxon #9203,$35.70,TRUE
161,35,1,"18,682.00",2023-02-01,Exxon #9203,$36.40,TRUE
162,34,1,"19,551.00",2023-02-12,Chevron #5621,$16.40,FALSE
163,35,1,"18,924.00",2023-02-15,Chevron #5621,$17.20,FALSE
164,34,1,"19,808.00",2023-02-27,BP #1345,$38.20,TRUE
165,35,1,"19,166.00",2023-03-02,BP #1345,$39.10,TRUE
166,34,1,"20,033.00",2023-03-12,Shell #2847,$40.50,TRUE
167,35,1,"19,399.00",2023-03-15,Shell #2847,$41.30,TRUE
168,34,1,"20,290.00",2023-03-27,Exxon #9203,$42.80,TRUE
169,35,1,"19,641.00",2023-03-30,Exxon #9203,$43.60,TRUE
170,34,1,"20,515.00",2023-04-09,Chevron #5621,$11.70,FALSE
171,35,1,"19,874.00",2023-04-12,Chevron #5621,$12.40,FALSE
172,34,1,"20,772.00",2023-04-24,BP #1345,$39.90,TRUE
173,35,1,"20,116.00",2023-04-27,BP #1345,$40.70,TRUE
174,34,1,"20,997.00",2023-05-08,Shell #2847,$37.20,TRUE
175,35,1,"20,349.00",2023-05-11,Shell #2847,$38.10,TRUE
176,34,1,"21,254.00",2023-05-22,Exxon #9203,$44.60,TRUE
177,35,1,"20,591.00",2023-05-25,Exxon #9203,$43.80,TRUE
178,34,1,"21,479.00",2023-06-05,Chevron #5621,$40.80,TRUE
179,35,1,"20,824.00",2023-06-08,Chevron #5621,$41.60,TRUE
180,34,4,-1.00,2023-06-10,Auto Shop,$285.00,FALSE
181,35,4,-1.00,2023-06-12,Auto Shop,$315.00,FALSE
182,34,1,"21,736.00",2023-06-20,BP #1345,$46.30,TRUE
183,35,1,"21,066.00",2023-06-23,BP #1345,$45.50,TRUE
184,34,1,"21,961.00",2023-07-04,Shell #2847,$19.50,FALSE
185,35,1,"21,299.00",2023-07-07,Shell #2847,$18.80,FALSE
186,34,1,"22,218.00",2023-07-19,Exxon #9203,$43.70,TRUE
187,35,1,"21,541.00",2023-07-22,Exxon #9203,$44.50,TRUE
188,34,1,"22,443.00",2023-08-02,Chevron #5621,$41.90,TRUE
189,35,1,"21,774.00",2023-08-05,Chevron #5621,$42.70,TRUE
190,34,1,"22,700.00",2023-08-16,BP #1345,$45.20,TRUE
191,35,1,"22,016.00",2023-08-19,BP #1345,$46.10,TRUE
192,34,1,"22,925.00",2023-08-30,Shell #2847,$42.60,TRUE
193,35,1,"22,249.00",2023-09-02,Shell #2847,$43.40,TRUE
194,34,1,"23,182.00",2023-09-13,Exxon #9203,$14.30,FALSE
195,35,1,"22,491.00",2023-09-16,Exxon #9203,$15.10,FALSE
196,34,1,"23,439.00",2023-09-28,Chevron #5621,$40.80,TRUE
197,35,1,"22,733.00",2023-10-01,Chevron #5621,$41.60,TRUE
198,34,1,"23,664.00",2023-10-11,BP #1345,$38.50,TRUE
199,35,1,"22,966.00",2023-10-14,BP #1345,$39.30,TRUE
